Month,Actual,No_break_forecast,No_break_error,Break_forecast,Break_error
Jan,7.504403,7.493936,0.010466,7.486308,0.018094
Feb,7.526341,7.5005,0.025841,7.488875,0.037465
Mar,7.574471,7.507446,0.067025,7.490764,0.083707
Apr,7.568823,7.514444,0.054379,7.49184,0.076983
May,7.52213,7.521449,0.000681,7.492888,0.029242
Jun,7.515655,7.528454,-0.012799,7.494023,0.021632
Jul,7.457459,7.53546,-0.078001,7.495173,-0.037714
Aug,7.475657,7.542466,-0.066809,7.496315,-0.020658
Sep,7.427013,7.549472,-0.122459,7.497454,-0.070441
Oct,7.41725,7.556478,-0.139228,7.498594,-0.081344
Nov,7.453023,7.563484,-0.110461,7.499734,-0.046711
Dec,7.49418,7.570489,-0.076309,7.500874,-0.006694
